alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,,1,1,inverse,100,USD,,BTC-USD-SWAP,SWAP,125,1611916828000,1,100000000,100000000,4000,4000,100000000,100000000,1,,,BTC,live,,0.1,BTC-USD
,,1,1,inverse,10,USD,,ETH-USD-SWAP,SWAP,125,1611916828000,1,100000000,100000000,30000,30000,100000000,100000000,1,,,ETH,live,,0.01,ETH-USD
,,1,1,inverse,10,USD,,LTC-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,30000,30000,100000000,100000000,1,,,LTC,live,,0.01,LTC-USD
,,1,1,inverse,10,USD,,DOT-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,DOT,live,,0.001,DOT-USD
,,1,1,inverse,10,USD,,DOGE-USD-SWAP,SWAP,75,1612263452000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,DOGE,live,,0.00001,DOGE-USD
,,1,1,inverse,10,USD,,XRP-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,30000,30000,100000000,100000000,1,,,XRP,live,,0.00001,XRP-USD
,,1,1,inverse,10,USD,,FIL-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,FIL,live,,0.001,FIL-USD
,,1,1,inverse,10,USD,,EOS-USD-SWAP,SWAP,75,1611833669000,1,100000000,100000000,30000,30000,100000000,100000000,1,,,EOS,live,,0.0001,EOS-USD
,,1,1,inverse,10,USD,,1INCH-USD-SWAP,SWAP,75,1617959702000,1,100000000,100000000,4000,4000,100000000,100000000,1,,,1INCH,live,,0.0001,1INCH-USD
,,1,1,inverse,10,USD,,ADA-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,ADA,live,,0.00001,ADA-USD
,,1,1,inverse,10,USD,,ALGO-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,ALGO,live,,0.0001,ALGO-USD
,,1,1,inverse,10,USD,,ATOM-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,ATOM,live,,0.001,ATOM-USD
,,1,1,inverse,10,USD,,AVAX-USD-SWAP,SWAP,75,1637833836000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,AVAX,live,,0.01,AVAX-USD
,,1,1,inverse,10,USD,,BCH-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,30000,30000,100000000,100000000,1,,,BCH,live,,0.01,BCH-USD
,,1,1,inverse,10,USD,,BSV-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,20000,20000,100000000,100000000,1,,,BSV,live,,0.01,BSV-USD
,,1,1,inverse,10,USD,,CRV-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,CRV,live,,0.001,CRV-USD
,,1,1,inverse,10,USD,,DASH-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,DASH,live,,0.01,DASH-USD
,,1,1,inverse,10,USD,,ETC-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,20000,20000,100000000,100000000,1,,,ETC,live,,0.001,ETC-USD
,,1,1,inverse,10,USD,,GRT-USD-SWAP,SWAP,75,1617959702000,1,100000000,100000000,7000,7000,100000000,100000000,1,,,GRT,live,,0.0001,GRT-USD
,,1,1,inverse,10,USD,,IOST-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,IOST,live,,0.00001,IOST-USD
,,1,1,inverse,10,USD,,IOTA-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,3000,3000,100000000,100000000,1,,,IOTA,live,,0.0001,IOTA-USD
,,1,1,inverse,10,USD,,KNC-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,2000,2000,100000000,100000000,1,,,KNC,live,,0.0001,KNC-USD
,,1,1,inverse,10,USD,,KSM-USD-SWAP,SWAP,75,1617959702000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,KSM,live,,0.01,KSM-USD
,,1,1,inverse,10,USD,,LINK-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,20000,20000,100000000,100000000,1,,,LINK,live,,0.001,LINK-USD
,,1,1,inverse,10,USD,,MANA-USD-SWAP,SWAP,75,1637833854000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,MANA,live,,0.0001,MANA-USD
,,1,1,inverse,10,USD,,NEO-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,NEO,live,,0.001,NEO-USD
,,1,1,inverse,10,USD,,ONT-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,6000,6000,100000000,100000000,1,,,ONT,live,,0.0001,ONT-USD
,,1,1,inverse,10,USD,,QTUM-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,9000,9000,100000000,100000000,1,,,QTUM,live,,0.001,QTUM-USD
,,1,1,inverse,10,USD,,SAND-USD-SWAP,SWAP,75,1637833844000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,SAND,live,,0.0001,SAND-USD
,,1,1,inverse,10,USD,,SOL-USD-SWAP,SWAP,75,1637833825000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,SOL,live,,0.01,SOL-USD
,,1,1,inverse,10,USD,,SUSHI-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,SUSHI,live,,0.001,SUSHI-USD
,,1,1,inverse,10,USD,,THETA-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,THETA,live,,0.001,THETA-USD
,,1,1,inverse,10,USD,,TRX-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,15000,15000,100000000,100000000,1,,,TRX,live,,0.00001,TRX-USD
,,1,1,inverse,10,USD,,UNI-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,UNI,live,,0.001,UNI-USD
,,1,1,inverse,10,USD,,XLM-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,XLM,live,,0.00001,XLM-USD
,,1,1,inverse,10,USD,,XMR-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,XMR,live,,0.01,XMR-USD
,,1,1,inverse,10,USD,,XTZ-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,XTZ,live,,0.001,XTZ-USD
,,1,1,inverse,10,USD,,YFI-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,YFI,live,,1,YFI-USD
,,1,1,inverse,10,USD,,YFII-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,YFII,live,,0.1,YFII-USD
,,1,1,inverse,10,USD,,ZEC-USD-SWAP,SWAP,75,1611916828000,1,100000000,100000000,10000,10000,100000000,100000000,1,,,ZEC,live,,0.01,ZEC-USD
,,1,1,linear,0.01,BTC,,BTC-USDT-SWAP,SWAP,125,1611916828000,1,100000000,100000000,1600,1600,100000000,100000000,1,,,USDT,live,,0.1,BTC-USDT
,,1,1,linear,0.1,ETH,,ETH-USDT-SWAP,SWAP,125,1611916828000,1,100000000,100000000,4500,4500,100000000,100000000,1,,,USDT,live,,0.01,ETH-USDT
,,1,1,linear,1,LTC,,LTC-USDT-SWAP,SWAP,75,1611916828000,1,100000000,100000000,1500,1500,100000000,100000000,1,,,USDT,live,,0.01,LTC-USDT
,,1,1,linear,1,DOT,,DOT-USDT-SWAP,SWAP,75,1611916828000,1,100000000,100000000,6000,6000,100000000,100000000,1,,,USDT,live,,0.001,DOT-USDT
,,1,1,linear,1000,DOGE,,DOGE-USDT-SWAP,SWAP,75,1611916828000,1,100000000,100000000,4000,4000,100000000,100000000,1,,,USDT,live,,0.00001,DOGE-USDT
,,1,1,linear,0.1,ETHW,,ETHW-USDT-SWAP,SWAP,75,1663311331000,1,100000000,100000000,16000,16000,100000000,100000000,1,,,USDT,live,,0.001,ETHW-USDT
,,1,1,linear,10000,LUNC,,LUNC-USDT-SWAP,SWAP,75,1662706704000,1,100000000,100000000,20000,20000,100000000,100000000,1,,,USDT,live,,0.00000001,LUNC-USDT
